.scale_uv[0]  .duration[0]  .scale_uv[1]  .duration[1]
    0.2           28            0.2           56
    0.2           28            0.3           56
    0.2           28            0.4           56
    0.2           28            0.5           56
    0.2           28            0.6           56
    0.2           28            0.7           56
    0.2           28            0.8           56
    0.2           28            0.9           56

    0.3           28            0.3           56
    0.3           28            0.4           56
    0.3           28            0.5           56
    0.3           28            0.6           56
    0.3           28            0.7           56
    0.3           28            0.8           56
    0.3           28            0.9           56

    0.4           28            0.4           56
    0.4           28            0.5           56
    0.4           28            0.6           56
    0.4           28            0.7           56
    0.4           28            0.8           56
    0.4           28            0.9           56

    0.5           28            0.5           56
    0.5           28            0.6           56
    0.5           28            0.7           56
    0.5           28            0.8           56
    0.5           28            0.9           56

    0.6           28            0.6           56
    0.6           28            0.7           56
    0.6           28            0.8           56
    0.6           28            0.9           56
